time,date,hour,open,high,close,low,volumefrom,volumeto
1574247600,2019-11-20,11,8073.27,8109.55,8098.82,8064.8,575.88,4665150.84
1574251200,2019-11-20,12,8098.82,8116.81,8085.26,8069.99,780.39,6327863.76
1574254800,2019-11-20,13,8085.26,8103.05,8094.28,8074.45,668.73,5424364.98
1574258400,2019-11-20,14,8094.28,8161.51,8152.0,8092.38,954.51,7753564.27
1574262000,2019-11-20,15,8152.0,8159.89,8141.74,8117.17,817.56,6654513.71
1574265600,2019-11-20,16,8141.74,8151.07,8132.74,8124.61,611.05,4977811.84
1574269200,2019-11-20,17,8132.74,8160.71,8160.71,8129.08,669.09,5449907.53
1574272800,2019-11-20,18,8160.71,8232.23,8107.3,8099.86,2538.25,20709019.08
1574276400,2019-11-20,19,8107.3,8119.29,8098.26,8077.4,1181.75,9564688.84
1574280000,2019-11-20,20,8098.26,8106.55,8100.73,8082.28,833.51,6739254.31
1574283600,2019-11-20,21,8100.73,8115.22,8096.74,8081.67,734.88,5953333.33
1574287200,2019-11-20,22,8096.74,8123.83,8099.22,8088.66,521.27,4222856.56
1574290800,2019-11-20,23,8099.22,8100.97,8093.6,8075.07,544.62,4412208.13
1574294400,2019-11-21,0,8093.6,8104.7,8094.57,8080.22,651.56,5278147.94
1574298000,2019-11-21,1,8094.57,8124.72,8122.38,8093.56,521.51,4236410.47
1574301600,2019-11-21,2,8122.38,8133.73,8108.16,8106.74,424.08,3452259.5
1574305200,2019-11-21,3,8108.16,8123.92,8114.49,8098.64,486.95,3947366.96
1574308800,2019-11-21,4,8114.49,8126.58,8108.43,8103.72,572.86,4661307.18
1574312400,2019-11-21,5,8108.43,8119.42,8115.67,8105.99,275.56,2239967.98
1574316000,2019-11-21,6,8115.67,8126.32,8093.86,8085.7,389.86,3161138.48
1574319600,2019-11-21,7,8093.86,8097.5,8084.26,8074.39,647.06,5239798.85
1574323200,2019-11-21,8,8084.26,8093.43,7935.46,7907.11,4695.81,37438853.51
1574326800,2019-11-21,9,7935.46,7956.94,7929.74,7919.18,1767.85,14042547.85
1574330400,2019-11-21,10,7929.74,7939.16,7924.23,7910.36,892.91,7074958.84
1574334000,2019-11-21,11,7924.23,7924.69,7866.93,7865.16,2247.72,17730623.91
1574337600,2019-11-21,12,7866.93,7903.38,7899.84,7848.15,1575.21,12390611.46
1574341200,2019-11-21,13,7899.84,7899.84,7879.07,7873.99,998.45,7882029.95
