TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1747134000,2025-05-13,11,103576.79,103665.07,103644.65,103475.33,168.69,17468615.79
1747130400,2025-05-13,10,103469.24,103623.98,103576.79,103285.07,468.59,48470590.81
1747126800,2025-05-13,9,102723.51,103520.35,103469.24,102723.44,393.34,40600374.5
1747123200,2025-05-13,8,102670.57,102954.39,102723.51,102554.96,447.27,45960760.3
1747119600,2025-05-13,7,102544.41,102935.01,102670.57,102543.87,263.18,27043561.84
1747116000,2025-05-13,6,102453.87,102675.6,102544.41,102327.36,190.53,19534557.81
1747112400,2025-05-13,5,102741.26,102741.26,102453.87,102277.97,199.5,20451564.16
1747108800,2025-05-13,4,101724.35,102760.97,102741.26,101630.76,540.14,55228320.97
1747105200,2025-05-13,3,102074.61,102154.85,101724.35,101466.16,608.26,61898453.78
1747101600,2025-05-13,2,102403.75,102691.29,102074.61,101714.65,1053.85,107642188.86
1747098000,2025-05-13,1,102266.9,102719.79,102403.75,102089.78,817.2,83704719.03
1747094400,2025-05-13,0,102802.44,102802.53,102266.9,102176.56,613.65,62881224.52
1747090800,2025-05-12,23,102857.91,103126.61,102802.44,102802.44,403.05,41495095.46
1747087200,2025-05-12,22,102528.62,102933.71,102857.91,102368.58,322.89,33164213.94
1747083600,2025-05-12,21,102690.4,102743.4,102528.62,102367.99,626.71,64252418.43
1747080000,2025-05-12,20,101843.27,102887.11,102690.4,101769.1,1213.99,124235162.59
1747076400,2025-05-12,19,101631.1,102102.1,101843.27,101483.64,1370.27,139506941.44
1747072800,2025-05-12,18,102560.63,102653.19,101631.1,100723.18,3320.61,337523384.32
1747069200,2025-05-12,17,102854.46,103085.65,102560.63,102538.91,843.74,86756302.05
1747065600,2025-05-12,16,102522.81,103076.13,102854.46,102438.64,1118.72,115006314.36
1747062000,2025-05-12,15,102796.56,103197.13,102522.81,102387.69,2468.38,253636512.05
1747058400,2025-05-12,14,104332.71,104406.33,102796.56,102575.09,3258.07,336872945.25
1747054800,2025-05-12,13,103889.66,104630.29,104332.71,103673.73,1898.59,197683596.96
1747051200,2025-05-12,12,103749.05,104135.09,103889.66,103716.73,819.95,85229096.5
