TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1747180800,2025-05-14,00,104136.59,104142.05,103921.08,103781.83,601.89,62571744.88
1747184400,2025-05-14,01,103921.08,104068.95,103733.56,103696.92,917.8,95396644.63
1747188000,2025-05-14,02,103733.56,103784.49,103706.46,103493.25,488.72,50651648.31
1747191600,2025-05-14,03,103706.46,103769.69,103582.84,103458.96,256.21,26537515.99
1747195200,2025-05-14,04,103582.84,103846.97,103740.26,103467.65,349.3,36190840.56
1747198800,2025-05-14,05,103740.26,103987.16,103899.57,103703.49,197.26,20482087.84
1747202400,2025-05-14,06,103899.57,103962.06,103756.71,103668.21,396.33,41138475.75
1747206000,2025-05-14,07,103756.71,103796.09,103712.3,103410.28,848.44,87830297.6
1747209600,2025-05-14,08,103712.3,103868.92,103222.36,103218.89,784.03,81180391.2
1747213200,2025-05-14,09,103222.36,103491.11,103485.15,102881.08,442.18,45619763.73
1747216800,2025-05-14,10,103485.15,103948.67,103716.1,103458.56,479.88,49761472.18
1747220400,2025-05-14,11,103716.1,104141.6,103951.31,103716.09,450.41,46813278.76
1747224000,2025-05-14,12,103951.31,104226.5,104017.13,103920.52,386.75,40252692.1
1747227600,2025-05-14,13,104017.13,104357.47,103973.43,103491.73,1338.37,139077792.04
1747231200,2025-05-14,14,103973.43,103977.36,103285.37,102919.76,2089.54,216022750.67
1747234800,2025-05-14,15,103285.37,103567.02,103536.75,102870.94,1023.74,105723587.93
1747238400,2025-05-14,16,103536.75,103632.29,103388.05,103194.49,800.59,82828002.72
1747242000,2025-05-14,17,103388.05,103462.64,103269.95,102615.68,983.72,101390716.48
1747245600,2025-05-14,18,103269.95,103542.66,103533.83,103046.65,648.82,67021106.71
1747249200,2025-05-14,19,103533.83,103735.05,103310.07,103256.8,918.96,95111240.55
1747252800,2025-05-14,20,103310.07,103687.89,103578.6,103305.86,562.54,58224918.51
1747256400,2025-05-14,21,103578.6,103690.28,103664.05,103468.46,456.15,47246329.07
1747260000,2025-05-14,22,103664.05,103669.63,103531.67,103459.05,428.9,44396349.3
1747263600,2025-05-14,23,103531.67,103633.43,103543.76,103399.45,726.72,75219973.21
